train,H1,H2,H3,H4,H5,H6
H1,0.978,0.3894,0.9313,0.1399,0.9525,0.7172
H2,0.9211,0.9638,0.9216,0.7679,0.9682,0.8687
H3,0.9657,0.4692,0.9645,0.1399,0.8206,0.7569
H4,0.9355,0.9415,0.9608,0.9583,0.9769,0.3179
H5,0.9883,0.4539,0.9489,0.1399,0.9786,0.7266
H6,0.9663,0.932,0.935,0.9554,0.9578,0.9232
