function,Accuracy,RMSE,F1,F1 neg,tnr,fpr,fnr,tpr,tn,fp,fn,tp,split,home,direction
Nonparametric,0.8199,0.4244,0.9,0.09236,0.0506,0.949,0.0102,0.99,55,1031,50,4867,0.3,H1,normal
Nonparametric,0.8237,0.4199,0.9004,0.2319,0.154,0.846,0.0364,0.964,69,379,78,2066,0.3,H1,reverse
Nonparametric,0.7974,0.4501,0.8791,0.3763,0.353,0.647,0.11,0.89,314,575,466,3784,0.4,H1,normal
Nonparametric,0.8076,0.4387,0.8934,0.01481,0.00775,0.992,0.00889,0.991,5,640,25,2786,0.4,H1,reverse
Nonparametric,0.7698,0.4798,0.8609,0.3333,0.354,0.646,0.149,0.851,246,449,535,3045,0.5,H1,normal
Nonparametric,0.7988,0.4485,0.888,0.01138,0.00596,0.994,0.0101,0.99,5,834,35,3446,0.5,H1,reverse
Nonparametric,0.7989,0.4485,0.8837,0.2576,0.227,0.773,0.0973,0.903,119,405,281,2606,0.6,H1,normal
Nonparametric,0.7994,0.4479,0.8884,0.009524,0.00495,0.995,0.00839,0.992,5,1005,35,4139,0.6,H1,reverse
Nonparametric,0.8206,0.4236,0.897,0.3044,0.599,0.401,0.164,0.836,100,67,390,1990,0.7,H1,normal
Nonparametric,0.774,0.4754,0.8726,0.0,0.0,1.0,0.0,1.0,0,1367,0,4681,0.7,H1,reverse
Nonparametric,0.8693,0.3616,0.9291,0.1603,0.244,0.756,0.0971,0.903,21,65,155,1442,0.8,H1,normal
Nonparametric,0.7905,0.4577,0.883,0.0,0.0,1.0,0.0,1.0,0,1448,0,5464,0.8,H1,reverse
AR predictions (aie),0.8084,0.4378,0.894,0.0,0.0,1.0,0.0,1.0,0,1316,0,5551,0.2,H1,normal
AR predictions (aie),0.8738,0.3552,0.9327,0.0,0.0,1.0,0.0,1.0,0,218,0,1510,0.2,H1,reverse
AR predictions (aie),0.8191,0.4253,0.9005,0.0,0.0,1.0,0.0,1.0,0,1086,0,4917,0.3,H1,normal
AR predictions (aie),0.8584,0.3763,0.9189,0.4414,0.324,0.676,0.0299,0.97,145,303,64,2080,0.3,H1,reverse
AR predictions (aie),0.835,0.4062,0.9091,0.1074,0.0574,0.943,0.00235,0.998,51,838,10,4240,0.4,H1,normal
AR predictions (aie),0.8492,0.3883,0.913,0.4355,0.312,0.688,0.0274,0.973,201,444,77,2734,0.4,H1,reverse
AR predictions (aie),0.8849,0.3392,0.935,0.5,0.354,0.646,0.012,0.988,246,449,43,3537,0.5,H1,normal
AR predictions (aie),0.8053,0.4412,0.891,0.08884,0.0489,0.951,0.0124,0.988,41,798,43,3438,0.5,H1,reverse
AR predictions (aie),0.8572,0.3779,0.9193,0.3843,0.29,0.71,0.0398,0.96,152,372,115,2772,0.6,H1,normal
AR predictions (aie),0.8052,0.4414,0.8921,0.0,0.0,1.0,0.0,1.0,0,1010,0,4174,0.6,H1,reverse
AR predictions (aie),0.9211,0.2809,0.9576,0.437,0.467,0.533,0.0471,0.953,78,89,112,2268,0.7,H1,normal
AR predictions (aie),0.774,0.4754,0.8726,0.0,0.0,1.0,0.0,1.0,0,1367,0,4681,0.7,H1,reverse
AR predictions (aie),0.9026,0.3122,0.9485,0.0989,0.105,0.895,0.0545,0.946,9,77,87,1510,0.8,H1,normal
AR predictions (aie),0.7905,0.4577,0.883,0.0,0.0,1.0,0.0,1.0,0,1448,0,5464,0.8,H1,reverse
ground truth AR,0.9387,0.2475,0.9483,0.9248,0.918,0.0816,0.0471,0.953,1519,135,112,2266,0.2,H2,normal
ground truth AR,0.9722,0.1667,0.9794,0.9573,0.954,0.0461,0.0189,0.981,269,13,11,571,0.2,H2,reverse
ground truth AR,0.9381,0.2488,0.9439,0.9308,0.921,0.0793,0.0476,0.952,1440,124,90,1802,0.3,H2,normal
ground truth AR,0.9764,0.1537,0.9841,0.9541,0.949,0.0511,0.014,0.986,353,19,15,1053,0.3,H2,reverse
ground truth AR,0.9432,0.2384,0.9502,0.9338,0.931,0.0689,0.0477,0.952,1270,94,86,1718,0.4,H2,normal
ground truth AR,0.9716,0.1684,0.979,0.9564,0.941,0.0594,0.013,0.987,538,34,15,1141,0.4,H2,reverse
ground truth AR,0.9495,0.2248,0.9581,0.9364,0.936,0.0641,0.0416,0.958,964,66,65,1497,0.5,H2,normal
ground truth AR,0.9657,0.1852,0.9721,0.9556,0.939,0.0607,0.0172,0.983,851,55,24,1374,0.5,H2,reverse
ground truth AR,0.9449,0.2346,0.9583,0.919,0.92,0.0803,0.0421,0.958,630,55,56,1275,0.6,H2,normal
ground truth AR,0.9663,0.1835,0.9705,0.9607,0.947,0.0528,0.019,0.981,1185,66,31,1598,0.6,H2,reverse
ground truth AR,0.941,0.243,0.9558,0.911,0.913,0.0874,0.045,0.955,522,50,52,1104,0.7,H2,normal
ground truth AR,0.9665,0.1829,0.9709,0.9606,0.946,0.0535,0.0183,0.982,1291,73,33,1771,0.7,H2,reverse
ground truth AR,0.9384,0.2483,0.9559,0.8975,0.899,0.101,0.0447,0.955,311,35,36,770,0.8,H2,normal
ground truth AR,0.9567,0.208,0.963,0.9479,0.927,0.073,0.0214,0.979,1474,116,46,2108,0.8,H2,reverse
OR (aie),0.5898,0.6405,0.742,0.0,0.0,1.0,0.0,1.0,0,1654,0,2378,0.2,H2,normal
OR (aie),0.6736,0.5713,0.805,0.0,0.0,1.0,0.0,1.0,0,282,0,582,0.2,H2,reverse
OR (aie),0.5475,0.6727,0.7076,0.0,0.0,1.0,0.0,1.0,0,1564,0,1892,0.3,H2,normal
OR (aie),0.7417,0.5083,0.8517,0.0,0.0,1.0,0.0,1.0,0,372,0,1068,0.3,H2,reverse
OR (aie),0.5694,0.6562,0.7257,0.0,0.0,1.0,0.0,1.0,0,1364,0,1804,0.4,H2,normal
OR (aie),0.669,0.5753,0.8017,0.0,0.0,1.0,0.0,1.0,0,572,0,1156,0.4,H2,reverse
OR (aie),0.6026,0.6304,0.752,0.0,0.0,1.0,0.0,1.0,0,1030,0,1562,0.5,H2,normal
OR (aie),0.6068,0.6271,0.7553,0.0,0.0,1.0,0.0,1.0,0,906,0,1398,0.5,H2,reverse
OR (aie),0.6602,0.5829,0.7953,0.0,0.0,1.0,0.0,1.0,0,685,0,1331,0.6,H2,normal
OR (aie),0.5656,0.6591,0.7226,0.0,0.0,1.0,0.0,1.0,0,1251,0,1629,0.6,H2,reverse
OR (aie),0.669,0.5753,0.8017,0.0,0.0,1.0,0.0,1.0,0,572,0,1156,0.7,H2,normal
OR (aie),0.5694,0.6562,0.7257,0.0,0.0,1.0,0.0,1.0,0,1364,0,1804,0.7,H2,reverse
OR (aie),0.6997,0.548,0.8233,0.0,0.0,1.0,0.0,1.0,0,346,0,806,0.8,H2,normal
OR (aie),0.5753,0.6517,0.7304,0.0,0.0,1.0,0.0,1.0,0,1590,0,2154,0.8,H2,reverse
OR (ai),0.5813,0.647,0.4541,0.6605,0.993,0.00726,0.705,0.295,1642,12,1676,702,0.2,H2,normal
OR (ai),0.5278,0.6872,0.4617,0.5794,0.996,0.00355,0.699,0.301,281,1,407,175,0.2,H2,reverse
OR (ai),0.5969,0.6349,0.4222,0.6905,0.994,0.00639,0.731,0.269,1554,10,1383,509,0.3,H2,normal
OR (ai),0.5118,0.6987,0.5115,0.5121,0.992,0.00806,0.655,0.345,369,3,700,368,0.3,H2,reverse
OR (ai),0.5852,0.644,0.4282,0.6746,0.999,0.00147,0.727,0.273,1362,2,1312,492,0.4,H2,normal
OR (ai),0.5475,0.6727,0.4961,0.5893,0.981,0.0192,0.667,0.333,561,11,771,385,0.4,H2,reverse
OR (ai),0.5691,0.6565,0.4446,0.648,0.998,0.00194,0.714,0.286,1028,2,1115,447,0.5,H2,normal
OR (ai),0.5751,0.6519,0.4676,0.6464,0.988,0.0121,0.692,0.308,895,11,968,430,0.5,H2,reverse
OR (ai),0.5382,0.6796,0.4634,0.5947,0.997,0.00292,0.698,0.302,683,2,929,402,0.6,H2,normal
OR (ai),0.5955,0.636,0.4492,0.6804,0.991,0.00879,0.708,0.292,1240,11,1154,475,0.6,H2,reverse
OR (ai),0.5312,0.6847,0.4622,0.5846,0.997,0.0035,0.699,0.301,570,2,808,348,0.7,H2,normal
OR (ai),0.5941,0.6371,0.4514,0.6779,0.992,0.00806,0.707,0.293,1353,11,1275,529,0.7,H2,reverse
OR (ai),0.4887,0.715,0.4242,0.5402,1.0,0.0,0.731,0.269,346,0,589,217,0.8,H2,normal
OR (ai),0.5975,0.6344,0.4669,0.6767,0.992,0.00818,0.694,0.306,1577,13,1494,660,0.8,H2,reverse
Nonparametric,0.5367,0.6807,0.5351,0.5383,0.658,0.342,0.548,0.452,1089,565,1303,1075,0.2,H2,normal
Nonparametric,0.6852,0.5611,0.7167,0.6458,0.879,0.121,0.409,0.591,248,34,238,344,0.2,H2,reverse
Nonparametric,0.6794,0.5662,0.7303,0.6049,0.542,0.458,0.207,0.793,848,716,392,1500,0.3,H2,normal
Nonparametric,0.7375,0.5123,0.8058,0.5953,0.747,0.253,0.266,0.734,278,94,284,784,0.3,H2,reverse
Nonparametric,0.684,0.5621,0.7469,0.5796,0.506,0.494,0.181,0.819,690,674,327,1477,0.4,H2,normal
Nonparametric,0.7593,0.4907,0.8071,0.68,0.773,0.227,0.247,0.753,442,130,286,870,0.4,H2,reverse
Nonparametric,0.6601,0.583,0.7313,0.5375,0.497,0.503,0.232,0.768,512,518,363,1199,0.5,H2,normal
Nonparametric,0.7326,0.5171,0.7789,0.6619,0.666,0.334,0.224,0.776,603,303,313,1085,0.5,H2,reverse
Nonparametric,0.6528,0.5893,0.7278,0.5205,0.555,0.445,0.297,0.703,380,305,395,936,0.6,H2,normal
Nonparametric,0.6552,0.5872,0.7205,0.5501,0.485,0.515,0.214,0.786,607,644,349,1280,0.6,H2,reverse
Nonparametric,0.6568,0.5858,0.7097,0.5803,0.717,0.283,0.373,0.627,410,162,431,725,0.7,H2,normal
Nonparametric,0.6629,0.5806,0.7315,0.5471,0.473,0.527,0.193,0.807,645,719,349,1455,0.7,H2,reverse
Nonparametric,0.6198,0.6166,0.6496,0.5844,0.89,0.11,0.496,0.504,308,38,400,406,0.8,H2,normal
Nonparametric,0.4095,0.7685,0.501,0.2767,0.266,0.734,0.485,0.515,423,1167,1044,1110,0.8,H2,reverse
AR predictions (aie),0.5898,0.6405,0.742,0.0,0.0,1.0,0.0,1.0,0,1654,0,2378,0.2,H2,normal
