train,H1,H2,H3,H4,H5,H6
H1,0.7989,0.6572,0.7951,0.8036,0.7483,0.3553
H2,0.5981,0.6528,0.5957,0.7366,0.544,0.4395
H3,0.7959999999999999,0.7009,0.813,0.8244,0.7679,0.3544
H4,0.8311,0.6508,0.7956,0.8328,0.838,0.3149
H5,0.7103,0.5962,0.7044,0.688,0.8044,0.3921
H6,0.6775,0.6677,0.7282,0.6106,0.61,0.4972
