train,H1,H2,H3,H4,H5,H6
H1,0.9757,0.9395,0.9444,0.2793,0.963,0.8312
H2,0.9795,0.9435,0.9489,0.9638,0.9716,0.9327
H3,0.9683,0.943,0.9506,0.9618,0.9647,0.8854
H4,0.9754,0.9420000000000001,0.9501,0.9678,0.9682,0.7734
H5,0.9789,0.94,0.9482,0.9678,0.9688,0.9753
H6,0.9736,0.9439,0.9442,0.9608,0.9670000000000001,0.9455
