train,H1,H2,H3,H4,H5,H6
H1,0.88 / 0.26,0.78 / 0.26,0.88 / 0.34,0.89 / 0.083,0.86 / 0.014,0.44 / 0.24
H2,0.73 / 0.2,0.73 / 0.52,0.72 / 0.29,0.84 / 0.29,0.68 / 0.18,0.36 / 0.5
H3,0.88 / 0.23,0.81 / 0.35,0.89 / 0.39,0.9 / 0.17,0.87 / 0.07,0.44 / 0.23
H4,0.91 / 0.15,0.78 / 0.097,0.88 / 0.13,0.91 / 0.0059,0.91 / 0.021,0.45 / 0.1
H5,0.83 / 0.13,0.73 / 0.21,0.82 / 0.17,0.81 / 0.14,0.89 / 0.24,0.46 / 0.31
H6,0.78 / 0.36,0.75 / 0.52,0.81 / 0.49,0.75 / 0.14,0.74 / 0.18,0.46 / 0.53
