train,H1,H2,H3,H4,H5,H6
H1,0.99 / 0.92,0.95 / 0.91,0.97 / 0.84,0.28 / 0.28,0.98 / 0.82,0.58 / 0.89
H2,0.99 / 0.93,0.96 / 0.92,0.97 / 0.86,0.98 / 0.87,0.98 / 0.87,0.89 / 0.95
H3,0.98 / 0.89,0.96 / 0.91,0.97 / 0.86,0.98 / 0.86,0.98 / 0.83,0.83 / 0.91
H4,0.99 / 0.91,0.96 / 0.91,0.97 / 0.86,0.98 / 0.88,0.98 / 0.85,0.71 / 0.81
H5,0.99 / 0.93,0.95 / 0.91,0.97 / 0.86,0.98 / 0.88,0.98 / 0.86,0.96 / 0.98
H6,0.98 / 0.91,0.96 / 0.92,0.97 / 0.85,0.98 / 0.86,0.98 / 0.84,0.91 / 0.96
