timestamp,day,audio,co2eq,light,rh,temp,img,occupied,lag1_occupied,lag2_occupied,lag3_occupied,lag4_occupied,lag5_occupied,lag6_occupied,lag7_occupied,lag8_occupied
2019-03-13 00:00:00,2019-03-13,0.5495285084531004,0.5107771192360598,0.5578649181997583,0.0799418604651163,0.3256267409470752,0.03458306938409805,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0
2019-03-13 00:05:00,2019-03-13,0.36505724731197253,0.5107771192360598,0.5578649181997583,0.0799418604651163,0.3256267409470752,0.0,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0
2019-03-13 00:10:00,2019-03-13,0.24965173677590854,0.5107771192360598,0.5578649181997583,0.0799418604651163,0.3256267409470752,0.0,1,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0
2019-03-13 00:15:00,2019-03-13,3.161524362407879e-05,0.5107771192360598,0.5578649181997583,0.0799418604651163,0.3256267409470752,0.0,1,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0
2019-03-13 00:20:00,2019-03-13,0.010847745194219039,0.5107771192360598,0.5578649181997583,0.0799418604651163,0.3256267409470752,0.0,1,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0
2019-03-13 00:25:00,2019-03-13,0.13554966684431463,0.5107771192360598,0.5578649181997583,0.0799418604651163,0.3256267409470752,0.0,1,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0
2019-03-13 00:30:00,2019-03-13,0.10129166100159694,0.5107771192360598,0.5578649181997583,0.0799418604651163,0.3256267409470752,0.0,1,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0
2019-03-13 00:35:00,2019-03-13,0.02047485929270627,0.5107771192360598,0.5578649181997583,0.0799418604651163,0.3256267409470752,0.0,1,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0
2019-03-13 00:40:00,2019-03-13,3.8308461682838655e-12,0.5107771192360598,0.5578649181997583,0.0799418604651163,0.3256267409470752,0.0,1,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0
2019-03-13 00:45:00,2019-03-13,3.8844165290568265e-09,0.5107771192360598,0.5578649181997583,0.0799418604651163,0.3256267409470752,0.0,1,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0
2019-03-13 00:50:00,2019-03-13,0.009598500156220411,0.5107771192360598,0.5578649181997583,0.0799418604651163,0.3256267409470752,0.0,1,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0
2019-03-13 00:55:00,2019-03-13,0.030565058032770525,0.5107771192360598,0.5578649181997583,0.0799418604651163,0.3256267409470752,0.0,1,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0
2019-03-13 01:00:00,2019-03-13,0.14769054191497583,0.5107771192360598,0.5578649181997583,0.0799418604651163,0.3256267409470752,0.0,1,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
2019-03-13 01:05:00,2019-03-13,0.33760082837604133,0.5107771192360598,0.5578649181997583,0.0799418604651163,0.3256267409470752,0.0,1,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
2019-03-13 01:10:00,2019-03-13,0.7118723551953176,0.5107771192360598,0.5578649181997583,0.0799418604651163,0.3256267409470752,0.0,1,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
2019-03-13 01:15:00,2019-03-13,0.5827442854310253,0.5107771192360598,0.5578649181997583,0.0799418604651163,0.19157267234535003,0.0,1,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0
2019-03-13 01:20:00,2019-03-13,0.6567501226036744,0.5107771192360598,0.5578649181997583,0.0799418604651163,0.46500029740965715,0.0,1,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0
2019-03-13 01:25:00,2019-03-13,0.16284898376829615,0.5107771192360598,0.5578649181997583,0.0799418604651163,0.8307913375407624,0.0,1,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0
2019-03-13 01:30:00,2019-03-13,0.5996607890967223,0.5107771192360598,0.5578649181997583,0.0799418604651163,0.40977833183470735,0.4327210565408071,1,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0
2019-03-13 01:35:00,2019-03-13,0.7979595277773116,0.5107771192360598,0.5578649181997583,0.0799418604651163,0.31285788105438705,0.36660188088814416,1,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0
2019-03-13 01:40:00,2019-03-13,0.1068004005108766,0.5107771192360598,0.6510744764450431,0.0799418604651163,0.2738219116991231,0.029298152526219687,1,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0
2019-03-13 01:45:00,2019-03-13,0.07142851183541703,0.5107771192360598,0.8521338763945463,0.0799418604651163,0.2738219116991231,0.020584303140640258,1,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0
2019-03-13 01:50:00,2019-03-13,0.1425084252557698,0.5107771192360598,0.8521338763945463,0.0799418604651163,0.2813707982234464,0.0,1,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0
2019-03-13 01:55:00,2019-03-13,0.19243130593696925,0.5107771192360598,0.8521338763945463,0.0799418604651163,0.336554962638554,0.0483204444249471,1,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0
2019-03-13 02:00:00,2019-03-13,0.08581654418281615,0.5107771192360598,0.8521338763945463,0.0799418604651163,0.3071704632962097,0.04574772318204244,1,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0
